set_id,set_name,item_name,item_type,item_language,item_tags,item_description,item_code,generated_kcs
664e4c2591363872f0ba37f9,py_hot_dry,Determining the Weather Condition (Case 1),example,PYTHON,,Construct a program that determines whether it is both too hot and too dry based on the inputs that it receives from the user.,"#Step 1: Read the user input for determining whether it is too hot
text = input(""Enter 1 if it is too hot, otherwise enter 0:"")
input_num = int(text)
#Step 2: Determine whether it is too hot
if input_num == 1 :
    too_hot = True
else:
    too_hot = False
#Step 3: Read the user input for determining whether it is too dry
text = input(""Enter 1 if it is too dry, otherwise enter 0:"")
input_num = int(text)
#Step 4: Determine whether it is too dry
if input_num == 1 :
    too_dry = True
else:
    too_dry = False
#Step 5: Write the boolean expression to determine whether it is both too hot and too dry
result = too_hot and too_dry
#Step 6: Print the result
if result == True :
    print(""Yes! It is too hot and too dry."")
else:
    print(""No! the weather condition 'too hot and too dry' is not met."")","['User input', 'Type conversion', 'If statement', 'Boolean variable usage', 'Logical operator', 'Output printing', 'Equality comparison']"
664e4c0191363872f0ba37e3,objects_classes_loan,The Class for Representing a Loan (Case 1),example,PYTHON,,"Construct a class that represents a loan. This class should contain data representing the interest rate, loan amount, and the length of loan period (in years); all of which could be accessed or changed only through the getter and setter methods. An instance of the class should be created by specifying annual interest rate, length of loan period, and loan amount.\nThe other method of the this class should calculate the amount of monthly payments on the loan.","#Step 1: Define the class
class Loan1 :
    #Step 1.1: Initialize the loan with the specified values 
    def __init__(self, annual_interest_rate, number_of_years, loan_amount) :
        self.__annual_interest_rate = annual_interest_rate
        self.__number_of_years = number_of_years
        self.__loan_amount = loan_amount
    #Step 1.2: Define the method that calculates the amount of monthly payments on the loan
    def get_monthly_payment(self) :
        monthly_interest_rate = self.__annual_interest_rate / 12
        monthly_payment = self.__loan_amount * monthly_interest_rate / (1 -
                (1 / (1 + monthly_interest_rate) ** (self.__number_of_years * 12) ))
        return monthly_payment    
    #Step 1.3: Define the methods to get/set the properties of the loan
    def get_annual_interest_rate(self) :
        return self.__annual_interest_rate
    def set_annual_interest_rate(self, annual_interest_rate) :
        self.__annual_interest_rate = annual_interest_rate
    def get_number_of_years(self) :
        return self.__number_of_years
    def set_number_of_years(self, number_of_years) :
        self.__number_of_years = number_of_years
    def get_loan_amount(self) :
        return self.__loan_amount
    def set_loan_amount(self, loan_amount) :
        self.__loan_amount = loan_amount
#Step 2: Test the class
annual_interest_rate = float(input(""Enter the annual interest rate: ""))
number_of_years = int(input(""Enter the number of years for the loan period: ""))
loan_amount = (float(input(""Enter the loan amount: "")))
loan1 = Loan1(annual_interest_rate, number_of_years, loan_amount)
print(""The monthly payment for the loan is: {:.2f} "".format(loan1.get_monthly_payment()))","['Class definition', 'Constructor method', 'Private attribute', 'Getter method', 'Setter method', 'Arithmetic operation', 'Power operator', 'Function definition', 'Function call', 'Input function', 'String formatting', 'Variable assignment', 'Class instantiation']"
664e4bae91363872f0ba37db,py_classes_inheritance,Person and Employee Inheritance,example,PYTHON,,Construct two classes: one represents a Person and another one represents an Employee that should be defined as Person's child class. The classes should define the functions to check if the person is an employee and return the person's name.,"# Step1: Define the class
class Person():
    # Step 1.1: Initialize the attributes of the Person class.
    def __init__(self, name):
        self.name = name
    # Step 1.2: Define the method to return the person’s name
    def get_name(self):
        return self.name
    # Step 1.3: Define the method to return if the person is an employee
    def is_employee(self):
        return False
# Step2: Define a class that is Person’s child class or subclass
class Employee(Person):
    # Step 2.1: Define the method to return if the person is an employee
    def is_employee(self):
        return True
# Step3: Test the class
emp = Person(""Melody"")
print(emp.get_name(), emp.is_employee())
emp = Employee(""Linda"")
print(emp.get_name(), emp.is_employee())","['Class definition', 'Constructor method', 'Method definition', 'Class inheritance', 'Method overriding', 'Class instantiation', 'Method call', 'Self keyword usage', 'Print statement']"
664e4b6991363872f0ba37c8,py_search_binary_recursive,Recursive Binary Search,example,PYTHON,,"Construct a function that uses recursive binary search to find if a specific value is in a list (known as a ""key""). Recall: Binary search uses the ""Divide and Conquer"" strategy. Given a list of ordered integers, the key is searched by dividing the data list in half and only searching in the half that contains the key, and repeating the process until the key is found and the index of the key is returned. If the key is not found, -1 is returned.","# Step 1: Define the function
def binary_search(data, key, low, high):
    # Step 1.1: Set default values
    guess = (high + low) // 2
    # Step 1.2: Set terminating condition(s)
    if low >= high:
        return -1
    elif key == data[guess]:
        return data.index(key)
    # Step 1.3: Set recursion condition
    else:
        if (key < data[guess]):
            high = guess
        else:
            low = guess + 1
        return binary_search(data, key, low, high)
# Step 2: Test the function
List = [2,4,8,15,19,20,22,29,31,35,38]
key = 5
idx = binary_search(List, key, 0, len(List))
print(idx)","['Function definition', 'Recursion', 'Integer division', 'Comparison operators', 'List indexing', 'Conditional statements', 'Return value', 'Function call', 'Variable assignment']"
664e47e391363872f0ba3785,py_trees_traversal,Tree traversal.,example,PYTHON,,"The tree can be traversed by deciding on a sequence to visit each node. There are three traversal algorithms: in-order traversal, pre-order traversal and post-order traversal.\n<b>In-order traversal</b> visits the nodes from the left, the root node and the right\n<b>Pre-order traversal</b> visits the nodes from the root node, the left and the right\n<b>Post-order traversal</b> visits the nodes from the left, the right and the root node.\nIn this example, we construct an in-order traversal algorithm. ","# Define a binary tree class
class BinaryTree:
    def __init__(self, root):
        self.left = None
        self.right = None
        self.key = root
    # Define the Insert Node function
    def insert(self, data):
        if self.key:
            if data < self.key:
                if self.left is None:
                    self.left = BinaryTree(data)
                else:
                    self.left.insert(data)
            elif data > self.key:
                if self.right is None:
                    self.right = BinaryTree(data)
                else:
                    self.right.insert(data)
        else:
            self.key = data
    # Define Post order traversal function
    def postorder_traversal(self, root):
        res = []
        if root:
            res = self.postorder_traversal(root.left)
            res = res + self.postorder_traversal(root.right)
            res.append(root.key)
        return res
root = BinaryTree(5)
root.insert(14)
root.insert(16)
root.insert(3)
root.insert(4)
root.insert(10)
print(root.postorder_traversal(root))","['Class definition', 'Constructor method', 'Conditional statement', 'Comparison operation', 'Recursion', 'List append operation', 'Function definition', 'Function call', 'Variable assignment', 'Object attribute usage']"
664e44db91363872f0ba3773,py_fail_course,Determining When a Student Fails a Course (Case 1),example,PYTHON,,Construct a program to determine whether a student fails the course based on the inputs that it receives from the instructor. The student fails the course if the exam score is less than 55 or student has more than 2 missing homework.,"#Step 1: Read the instructor inputs
text = input(""Enter the exam score:"")
exam_score = int(text)
text = input(""Enter number of missing homework:"")
number_of_missing_hw = int(text)
#Step 2: Write the boolean expression to determine whether the student fails the course
is_failing = exam_score < 55 or number_of_missing_hw > 2
#Step 3: Print the result
if is_failing == True :
    print(""Yes! The student fails the course."")
else:
    print(""No! The student does not fail the course."")","['Input function', 'Type conversion', 'Variable assignment', 'Less-than comparison', 'Greater-than comparison', 'Logical OR operation', 'If statement', 'Print function', 'Boolean usage']"
664e44d391363872f0ba3768,py_check_adjacent,Finding Adjacent Duplicates in a Sequence of Numbers,example,PYTHON,,"Construct a program that checks whether a sequence of numbers, entered one at a time, contains adjacent duplicates. The user enters -1 to indicate the end of the input.\nFor example, 4 is a duplicate in the sequence of numbers 1, 3, 4, 4, -1.","#Step 1: Read the first number that the user enters
text = input(""Enter a number: "")
num = float(text)
#Step 2: Read the rest of the numbers that the user enters and check for adjacent duplicates
while num != -1 :
    previous = num
    text = input(""Enter a number: "")
    num = float(text)    
    if num == previous :
        print(""Duplicate input for number:"", num) ","['Input function', 'String to float conversion', 'While loop', 'Variable assignment', 'Not-equal comparison', 'If statement', 'Equality comparison', 'Print function']"
664e44c691363872f0ba3759,py_list_fill,Add Values to an Empty List (Case 1),example,PYTHON,,Construct a program that creates a list of first ten positive odd numbers.,"#Step 1: Create an empty list
lst = []
#Step 2: Add the odd numbers to the list one by one
for i in range(10):
    lst.append( 2 * i + 1 ) 
#Step 3: Print the list
print(lst)","['For loop', 'Range function', 'List append method', 'Multiplication operation', 'Addition operation', 'List usage', 'Print function']"
664e448991363872f0ba3749,py_bmi_calculator,Calculating Body Mass Index (BMI),example,PYTHON,,BMI is a measure of body fat based on height and weight that applies to adult men and women. BMI Categories are as follows:\nUnderweight = <18.5\nNormal weight = 18.5–24.9\nOverweight = 25–29.9\nObesity = BMI of 30 or greater.\nEnglish BMI Formula (Imperial) is: BMI = (Weight in Pounds / (Height in inches x Height in inches)) x 703.\nConstruct a program that calculates the Body Mass Index (BMI) according to this formula.,"#Step 1: Receive the weight and height from the user
text = input(""Enter the weight in pounds:"")
weight = float(text)
text = input(""Enter the height in inches:"")
height = float(text)
#Step 2: Calculate BMI
bmi = weight / height ** 2 * 703    
#Step 3: Print the result
print(""The BMI is:"", bmi)","['User input', 'String to float conversion', 'Variable assignment', 'Arithmetic operations', 'Exponentiation', 'Multiplication operation', 'Function call', 'String usage']"
664e447591363872f0ba3736,py_nested_if_temperature,Warning the User about the Changes in the Temperature,example,PYTHON,,Construct a program that receives the temperature for today and yesterday and warns the user when it is getting colder or warmer or neither. The temperature values could have a decimal point.,"#Step 1: Read the temperature for today and yesterday
text = input(""Enter the yesterday's temperature: "")
yesterday = float(text)
text = input(""Enter the today's temperature: "")
today = float(text)  
#Step 2: Warn the user about the changes in the temperature
if  today < yesterday :
    print(""It is getting colder!"")
else :
    if  today > yesterday :
        print(""It is getting warmer!"")
    else :
        print(""Temperature is the same as yesterday!"")","['Input function', 'Float conversion', 'Variable assignment', 'Less-than comparison', 'Greater-than comparison', 'If statement', 'Print function', 'Else statement']"
664e43ea91363872f0ba371f,py_input,Receiving Input Integers Until a Certain Condition is Met (Case 1),example,PYTHON,,"Construct a program that receives an integer from the user, outputs that integer, and stops receiving integers when the user enters a negative integer.","#Step 1: Read the first integer that the user enters
text = input(""Enter an integer:"")
num = int(text)
#Step 2: Print the integer that the user has entered, then receive the next integers as long as the user enters an integer that is not negative;; otherwise stop
while num >= 0 :
    print(""The integer entered is:"", num)
    text = input(""Enter an integer:"")
    num = int(text)
print(""End of input."")","['Input operation', 'Type conversion', 'While loop', 'Greater-than-or-equal-to comparison', 'Output operation', 'Variable assignment', 'String usage']"
664e42de91363872f0ba36f1,py_print_medals,Printing Table of Medal Counts with Row Totals,example,PYTHON,,"Assume that we have a 7x4 matrix that stores the number of medals that seven countries won in the skating competitions at the Winter Olympic. This matrix looks like as follows:\n[[ ""Canada"", 1, 0, 1 ],\n [ ""China"", 1, 1, 0 ],\n ...]\nEach row of this matrix corresponds to the medal counts for the country in that row. The second, third, and fourth numbers within a row represent the number of Gold, Silver, and Bronze medals won by the corresponding country in that row.\nConstruct a program that takes this matrix and prints a table of medal counts with row total that shows the number of Gold, Silver, Bronze, and Total medals for each of the countries who participated in the competition. The output table should look like as follows:\n    Country    Gold  Silver  Bronze   Total\n     Canada        1       0       1            2\n        China        1       1       0            2\n       ...\n","#Step 1: Define a 7x4 matrix that stores the number of medals won by seven countries
medal_counts = [[ ""CAN"", 1, 0, 1 ],
                [ ""CHN"", 1, 1, 0 ],
                [ ""GER"", 0, 0, 1 ],
                [ ""KOR"", 1, 0, 0 ],
                [ ""JPN"", 0, 1, 1 ],
                [ ""RUS"", 0, 1, 1 ],
                [ ""USA"", 1, 1, 0 ]]
#Step 2: Print the header of the output table
print(""{:>4s}{:>3s}{:>3s}{:>3s}{:>4s}"".format(""Name"",""G"",""S"",""B"",""All""))
#Step 3: Iterate through the rows in the medal counts matrix
for i in range(len(medal_counts)):
    #Step 3.1: Assign initial values to variables we need for printing row i
    line = ""{:>4s}"".format(medal_counts[i][0])
    row_total = 0
    #Step 3.2: Iterate through the columns that have medal counts
    for j in range(1, len(medal_counts[0])):
        #Step 3.2.1: Append medal counts to the content of row i
        line += ""{:>3d}"".format(medal_counts[i][j])
        #Step 3.2.2: Update the row total for row i 
        row_total += medal_counts[i][j]
    #Step 3.3: Add the row total to the content of the output table for row i
    line += ""{:>3d}"".format(row_total)
    #Step 3.4: Print the content of the output table for row i
    print(line)","['Matrix representation using lists', 'Formatted string output', 'For loop iteration over lists', 'List indexing', 'Arithmetic operations', 'String concatenation', 'Variable assignment', 'Using len function']"
664e42a291363872f0ba36e4,py_divisor,Finding the Smallest Divisor of a Positive Number,example,PYTHON,,"Construct a program that finds the smallest divisor (other than 1) of a positive number. For example, the smallest divisor of 4 is 2.","#Step 1: Assign initial values to the variables which we need for this program
num = 15
divisor = 2
#Step 2: Find the smallest divisor of the number
while num % divisor != 0 :
    divisor += 1
print(""The smallest divisor of"", num, ""is"", divisor)","['While loop', 'Modulo operation', 'Not-equal comparison', 'Variable assignment', 'Integer usage', 'Addition operation', 'Function call', 'String usage']"
664e427a91363872f0ba36d4,py_nested_if_min_max,Determining the Smallest of the Three Integers,example,PYTHON,,Construct a program that determines the smallest of the three integer values entered by the user.,"#Step 1: Read the three integers 
text = input(""Enter the first integer: "")
num1 = int(text)
text = input(""Enter the second integer: "")
num2 = int(text)
text = input(""Enter the third integer: "")
num3 = int(text)
#Step 2: Determine the minimum integer
if num1 < num2 : 
    if num1 < num3 :
        min_num = num1
    else :
        min_num = num3
else :
    if num2 < num3 :
        min_num = num2
    else :
        min_num = num3
#Step 3: Print the minimum integer
print(""Minimum value:"", min_num)","['Input function', 'String to integer conversion', 'Variable assignment', 'Less-than comparison', 'If statement', 'Print function']"
664e427491363872f0ba36cc,py_range_one,Printing Consecutive Numbers Starting from Zero (Case 1) ,example,PYTHON,,Construct a program that prints a sequence of numbers from 0 (inclusive) to 10 (exclusive).,"#Step 1: Iterate through the numbers in the sequence
for num in range(10): 
    #Step 1.1: Print each number in the sequence
    print(num)","['For loop', 'Range function', 'Function call', 'Integer usage']"
664e426f91363872f0ba36c4,py_trees_insert_binarytree,Inserting binary tree,example,PYTHON,,"In a BinaryTree, adding new nodes to the tree is an important capability to have.\nConstruct a simple implementation of a BinaryTree consisting of an __init__ method and an insertLeft method, which adds new nodes to the tree to the left of the root. ","# Define a binary tree class
class BinaryTree:
    def __init__(self, root):
        self.key = root
        self.left = None
        self.right = None
    # Define a function to insert node from the right
    def insert_right(self, new_node):
        if self.right is None:
            self.right = BinaryTree(new_node)
        else:
            node_tree = BinaryTree(new_node)
            node_tree.right = self.right
            self.right = node_tree
    # Define a function to print the tree
    def print_tree(self):
        if self.left:
            self.left.print_tree()
        print(self.key, "" "", end="""")
        if self.right:
            self.right.print_tree()
# Initializing a tree
root = BinaryTree(10)
root.insert_right(5)
root.insert_right(6)
root.insert_right(14)
root.print_tree()","['Class definition', 'Constructor method', 'Attribute assignment', 'If statement', 'Object instantiation', 'Method definition', 'Function call', 'Recursive method call', 'Print function usage']"
664e424a91363872f0ba36b1,objects_classes_tv,The Class for Representing a TV (Case 1),example,PYTHON,,"Construct a class that represents a TV. The class should contain data that represents the TV's state (power on or off, current channel). The state of the TV could be accessed or changed only through the getter and setter methods. The class should also include methods to change the state of the TV (turn on/off, change channels). Assume that the valid channel range is from 1 to 120 (both inclusive).","#Step 1: Define the class
class TV1 :
    #Step 1.1: Initialize the state of the TV
    def __init__(self):
        self.__on = False
        self.__channel = 1   
    #Step 1.2: Define the methods to change the on/off state of the TV 
    def turn_on(self) :
        self.__on = True
    def turn_off(self) :
        self.__on = False
    #Step 1.3: Define the methods to change the channel of the TV 
    def set_channel(self, new_channel) :
        if self.__on and new_channel >= 1 and new_channel <= 120 :
            self.__channel = new_channel
    def channel_up(self) :
        if self.__on and self.__channel < 120 :
            self.__channel += 1
    def channel_down(self) :
        if self.__on and self.__channel > 1 :
            self.__channel -= 1
    #Step 1.4: Define the methods to get the current state of the TV 
    def get_channel(self) :
        return self.__channel
    def is_on(self) :
        return self.__on
#Step 2: Test the class
tv1 = TV1()
tv1.turn_on()
tv1.set_channel(30)
tv2 = TV1()
tv2.turn_on()
tv2.channel_up()
tv2.channel_up()
tv2.channel_down()
print(""tv1's channel is "" + str(tv1.get_channel()))
print(""tv2's channel is "" + str(tv2.get_channel()))","['Class definition', 'Constructor method', 'Private attribute', 'Method definition', 'Conditional statement', 'Comparison operation', 'Boolean operation', 'Encapsulation', 'Method call', 'String concatenation', 'Integer usage', 'Return statement', 'Variable assignment']"
664e423991363872f0ba36a9,py_str_count,Counting the Occurrences of One String in Another (Case 1),example,PYTHON,,"Construct a program that has a function that receives a string and returns the number of times that the string ""hi"" appears anywhere in the given string, ignoring the case.","#Step 1: Define the function
def count_hi(s):
    #Step 1.1: Assign initial value to the variable that we need for the counts
    count = 0
    #Step 1.2: Iterate through the characters in the given string 
    for i in range(len(s)-1):
        #Step 1.2.1: Increment the counts by 1 if we find a match
        if s[i:i+2].lower() == ""hi"":
            count += 1
    #Step 1.3: Return the counts
    return count
#Step 2: Call the function
print(count_hi(""hiabc Hi ho hIx""))","['Function definition', 'For loop', 'Range function', 'String slicing', 'String comparison', 'String method usage', 'Variable incrementation', 'Return value', 'Function call', 'Print statement']"
664e423291363872f0ba36a0,py_rent_car,Determining When a Customer Could Rent a Car (Case 1),example,PYTHON,,Construct a program that determines whether a customer could rent a car based on the inputs that it receives from the car rental agent. Rental cars are available to licensed drivers of 21 years of age or over.,"#Step 1: Read the inputs from the car rental agent
text = input(""Enter the customer's age:"")
age = int(text)
text = input(""Enter 1 if the customer has driver's license, otherwise enter 0:"")
input_num = int(text)
#Step 2: Determine whether the customer has driver's license
if input_num == 1 :
    has_license = True
else:
    has_license = False
#Step 3: Write the boolean expression to determine whether a customer could rent a car
can_rent_car = age >= 21 and has_license
#Step 4: Print the result
if can_rent_car == True :
    print(""Yes! The customer could rent a car."")
else:
    print(""No! The customer could not rent a car."")","['Input function', 'Type conversion', 'If-else statement', 'Boolean assignment', 'Comparison operation', 'Logical operator', 'Print function', 'Variable assignment']"
664e422491363872f0ba368e,py_sorting_selection_sort,Selection sort,example,PYTHON,,"Ascending-order Selection sort operates by finding the minimum element of an array and moving it to the “beginning” of the array, with the “beginning” of the array incrementing forward after each element is placed in its proper position. Construct a function that performs selection sort on the given list, in ascending order. ","# Define a function that achieves descending-order selection sort.
def sel_sort(data):
    for i in range(len(data)):
            max_index = i
            for j in range(i+1, len(data)):
            # Check if the current element at maxindex is smaller than the next element
                if data[max_index] < data[j]:
                    max_index = j
            data[i], data[max_index] = data[max_index], data[i]
    return data
num_list = [20, -3, 0, 25, 300, 10]
print(sel_sort(num_list))","['Function definition', 'For loop', 'Indexing operation', 'Less-than comparison', 'Variable assignment', 'Element swapping', 'Function call', 'Return value', 'List usage', 'Print statement']"
664e421991363872f0ba3686,py_student_score,Creating a Dictionary of Student-Scores Pairs (Case 1) ,example,PYTHON,,"Assume we have a list of students and a list of their corresponding test scores. Construct a program that has a function which receives these two lists and returns a dictionary that maps each student to the scores of that student.\nFor example, if the student list is ['Sam', 'Kim', 'Sam'] and the scores list is [15, 10, 14], the program creates the following dictionary:\n{'Sam': [15, 14], 'Kim': [10]}","#Step 1: Define the function
def create_dictionary(std_lst, test_lst):
    #Step 1.1: Create an empty dictionary
    res_dict={}
    #Step 1.2: Update the dictionary entries as we iterate through the indexes in the given lists
    for i in range(len(std_lst)):
        if std_lst[i]  in res_dict:
            res_dict[ std_lst[i] ].append( test_lst[i] )
        else:
            res_dict[ std_lst[i] ] = [ test_lst[i] ]
    return res_dict
#Step 2: Call the function
names = ['Joe', 'Tom', 'Barbara', 'Sue', 'Sally', 'Joe', 'Sue']
scores=[10, 23, 13, 18, 12, 9, 15]
print(create_dictionary(names, scores))","['Function definition', 'Dictionary usage', 'Dictionary initialization', 'For loop', 'Range function', 'Indexing operation', 'If statement', 'Membership test', 'List append operation', 'List assignment', 'Function call', 'Print function']"
